# Field Extrema Data: U
# Time            	min               	min_procID        	min_cellID        	min_position      	max               	max_procID        	max_cellID        	max_position      
0.5               	(-1.5256807066e-04 1.5371705134e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.5256807066e-04 1.5371705134e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
1                 	(-1.9044205733e-04 1.9134398557e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.9044205733e-04 1.9134398557e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
1.5               	(-3.1825064660e-04 3.1200722733e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-3.1825064660e-04 3.1200722733e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
2                 	(-2.5933768833e-04 2.1024118370e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-2.5933768833e-04 2.1024118370e-04 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
2.5               	(-1.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
3                 	(-1.0000000564e+00 3.4853513839e-07 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000564e+00 3.4853513839e-07 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
3.5               	(-9.9999999199e-01 2.2536771633e-07 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-9.9999999199e-01 2.2536771633e-07 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
4                 	(-1.0000000000e+00 6.1957621717e-08 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000000e+00 6.1957621717e-08 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
4.5               	(-1.0000000000e+00 1.3328012503e-08 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000000e+00 1.3328012503e-08 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
5                 	(-1.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000000e+00 -0.0000000000e+00 -0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
5.5               	(-1.0000000000e+00 5.5164575365e-14 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	(-1.0000000000e+00 5.5164575365e-14 0.0000000000e+00)	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
