# Field Extrema Data: p
# Time            	min               	min_procID        	min_cellID        	min_position      	max               	max_procID        	max_cellID        	max_position      
0.5               	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.0020765544e-02	0	399	(9.7500000000e-02 9.7500000000e-02 5.0000000000e-03)
1                 	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.6573777672e-02	0	399	(9.7500000000e-02 9.7500000000e-02 5.0000000000e-03)
1.5               	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.7031694181e-02	0	399	(9.7500000000e-02 9.7500000000e-02 5.0000000000e-03)
2                 	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.7934235019e-02	0	399	(9.7500000000e-02 9.7500000000e-02 5.0000000000e-03)
2.5               	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.8945446671e-02	0	399	(9.7500000000e-02 9.7500000000e-02 5.0000000000e-03)
3                 	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	1.9647151774e-07	0	321	(7.5000000000e-03 8.2500000000e-02 5.0000000000e-03)
3.5               	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	7.4054903314e-09	0	121	(7.5000000000e-03 3.2500000000e-02 5.0000000000e-03)
4                 	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	1.9725297666e-10	0	241	(7.5000000000e-03 6.2500000000e-02 5.0000000000e-03)
4.5               	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	5.2470029037e-12	0	61	(7.5000000000e-03 1.7500000000e-02 5.0000000000e-03)
5                 	0.0000000000e+00	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	1.1533894390e-12	0	101	(7.5000000000e-03 2.7500000000e-02 5.0000000000e-03)
5.5               	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	2.2460203847e-15	0	221	(7.5000000000e-03 5.7500000000e-02 5.0000000000e-03)
6                 	0.0000000000e+00	0	4	(2.2500000000e-02 2.5000000000e-03 5.0000000000e-03)	2.6780481471e-15	0	161	(7.5000000000e-03 4.2500000000e-02 5.0000000000e-03)
6.5               	0.0000000000e+00	0	21	(7.5000000000e-03 7.5000000000e-03 5.0000000000e-03)	7.1809874294e-15	0	261	(7.5000000000e-03 6.7500000000e-02 5.0000000000e-03)
7                 	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	1.5315898266e-15	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
7.5               	0.0000000000e+00	0	3	(1.7500000000e-02 2.5000000000e-03 5.0000000000e-03)	2.0512564715e-15	0	161	(7.5000000000e-03 4.2500000000e-02 5.0000000000e-03)
8                 	0.0000000000e+00	0	21	(7.5000000000e-03 7.5000000000e-03 5.0000000000e-03)	3.4477467671e-15	0	321	(7.5000000000e-03 8.2500000000e-02 5.0000000000e-03)
8.5               	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	6.9078661148e-15	0	321	(7.5000000000e-03 8.2500000000e-02 5.0000000000e-03)
9                 	0.0000000000e+00	0	0	(2.5000000000e-03 2.5000000000e-03 5.0000000000e-03)	6.9065740605e-16	0	1	(7.5000000000e-03 2.5000000000e-03 5.0000000000e-03)
9.5               	2.6884675414e-16	0	21	(7.5000000000e-03 7.5000000000e-03 5.0000000000e-03)	1.2334453802e-14	0	261	(7.5000000000e-03 6.7500000000e-02 5.0000000000e-03)
10                	0.0000000000e+00	0	21	(7.5000000000e-03 7.5000000000e-03 5.0000000000e-03)	9.5257763452e-15	0	221	(7.5000000000e-03 5.7500000000e-02 5.0000000000e-03)
