# Field Statistics: p
# Time            	max               	mean              	min               	variance          
0.5               	5.0020765544e-02	6.5283724869e-04	0.0000000000e+00	-4.0040785869e-19
1                 	5.6573777672e-02	7.8442961961e-04	0.0000000000e+00	4.4409283140e-19
1.5               	5.7031694181e-02	7.2959924613e-04	0.0000000000e+00	2.1285672714e-18
2                 	5.7934235019e-02	7.3026531696e-04	0.0000000000e+00	2.0099614388e-18
2.5               	5.8945446671e-02	7.7497441164e-04	0.0000000000e+00	1.4540531850e-18
3                 	1.9647151774e-07	3.0258574444e-09	0.0000000000e+00	-1.5542015685e-26
3.5               	7.4054903314e-09	1.3206281207e-10	0.0000000000e+00	5.1428961623e-26
4                 	1.9725297666e-10	7.0525729965e-12	0.0000000000e+00	1.8618039622e-27
4.5               	5.2470029037e-12	1.0080012462e-13	0.0000000000e+00	1.7364821262e-29
5                 	1.1533894390e-12	1.7711513240e-14	0.0000000000e+00	2.3570307465e-29
5.5               	2.2460203847e-15	4.1399081350e-17	0.0000000000e+00	-7.3852779162e-33
6                 	2.6780481471e-15	1.8071641018e-16	0.0000000000e+00	-1.9453902804e-32
6.5               	7.1809874294e-15	4.0845140057e-15	0.0000000000e+00	-8.0450637203e-31
7                 	1.5315898266e-15	1.1754020619e-17	0.0000000000e+00	-1.3413157191e-32
7.5               	2.0512564715e-15	3.4839085361e-17	0.0000000000e+00	6.3559708895e-33
8                 	3.4477467671e-15	1.9598756688e-15	0.0000000000e+00	1.8906311465e-30
8.5               	6.9078661148e-15	4.2131970150e-15	0.0000000000e+00	1.7704080858e-30
9                 	6.9065740605e-16	3.5673177214e-18	0.0000000000e+00	9.7237348173e-33
9.5               	1.2334453802e-14	8.6451307334e-15	2.6884675414e-16	2.7223112241e-30
10                	9.5257763452e-15	5.8426695649e-15	0.0000000000e+00	-4.5207164610e-30
