# Momentum        
#
# Time            	(momentum_x momentum_y momentum_z)	volume            
0.005             	(9.2017425914e-10 7.1668852967e-13 0.0000000000e+00)	1.0000000000e-04
0.01              	(1.6371953595e-09 9.2745550415e-12 0.0000000000e+00)	1.0000000000e-04
0.015             	(2.2445965805e-09 1.4786112829e-11 0.0000000000e+00)	1.0000000000e-04
0.02              	(2.8205961769e-09 6.4157542152e-12 0.0000000000e+00)	1.0000000000e-04
0.025             	(3.3815634216e-09 4.7721827677e-11 0.0000000000e+00)	1.0000000000e-04
0.03              	(3.9373201672e-09 1.4903432813e-10 0.0000000000e+00)	1.0000000000e-04
0.035             	(4.4850975041e-09 2.5615477105e-10 0.0000000000e+00)	1.0000000000e-04
0.04              	(5.0289695131e-09 4.3671059429e-10 0.0000000000e+00)	1.0000000000e-04
0.045             	(5.5726307497e-09 7.4004058677e-10 0.0000000000e+00)	1.0000000000e-04
0.05              	(6.1157858245e-09 1.0767369031e-09 0.0000000000e+00)	1.0000000000e-04
0.055             	(6.6558774428e-09 1.4637518134e-09 0.0000000000e+00)	1.0000000000e-04
0.06              	(7.1910880669e-09 1.9623375766e-09 0.0000000000e+00)	1.0000000000e-04
0.065             	(7.7297736101e-09 2.6101927791e-09 0.0000000000e+00)	1.0000000000e-04
0.07              	(8.3162702821e-09 3.4031675241e-09 0.0000000000e+00)	1.0000000000e-04
0.075             	(9.0162520598e-09 4.3750235511e-09 0.0000000000e+00)	1.0000000000e-04
0.08              	(9.8729640998e-09 5.5199665323e-09 0.0000000000e+00)	1.0000000000e-04
0.085             	(1.0905091837e-08 6.8292670534e-09 0.0000000000e+00)	1.0000000000e-04
0.09              	(1.2110173517e-08 8.2965716115e-09 0.0000000000e+00)	1.0000000000e-04
0.095             	(1.3444998847e-08 9.8966097671e-09 0.0000000000e+00)	1.0000000000e-04
0.1               	(1.4869603935e-08 1.1662043073e-08 0.0000000000e+00)	1.0000000000e-04
0.105             	(1.6334589853e-08 1.3447207368e-08 0.0000000000e+00)	1.0000000000e-04
0.11              	(1.7749124866e-08 1.5220611535e-08 0.0000000000e+00)	1.0000000000e-04
0.115             	(1.9065187750e-08 1.6932957484e-08 0.0000000000e+00)	1.0000000000e-04
0.12              	(2.0247947153e-08 1.8552598198e-08 0.0000000000e+00)	1.0000000000e-04
0.125             	(2.1272954452e-08 2.0042128570e-08 0.0000000000e+00)	1.0000000000e-04
0.13              	(2.2168965814e-08 2.1387825139e-08 0.0000000000e+00)	1.0000000000e-04
0.135             	(2.2973403129e-08 2.2627998668e-08 0.0000000000e+00)	1.0000000000e-04
0.14              	(2.3720776676e-08 2.3714487424e-08 0.0000000000e+00)	1.0000000000e-04
0.145             	(2.4427811007e-08 2.4658856272e-08 0.0000000000e+00)	1.0000000000e-04
0.15              	(2.5116840050e-08 2.5474515515e-08 0.0000000000e+00)	1.0000000000e-04
0.155             	(2.5798886210e-08 2.6181021180e-08 0.0000000000e+00)	1.0000000000e-04
0.16              	(2.6473365374e-08 2.6803765048e-08 0.0000000000e+00)	1.0000000000e-04
