# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	max(p)	max(U)
0.5             	5.00207655e-02	(3.77551454e-01 9.25060235e-02 0.00000000e+00)
1               	5.65737777e-02	(3.78812020e-01 9.24987174e-02 0.00000000e+00)
1.5             	5.70316942e-02	(3.77869942e-01 9.27862931e-02 0.00000000e+00)
2               	5.79342350e-02	(3.78540986e-01 9.94892498e-02 0.00000000e+00)
2.5             	5.89454467e-02	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
3               	1.96471518e-07	(-9.99997267e-01 3.96950850e-06 0.00000000e+00)
3.5             	7.40549033e-09	(-9.99999909e-01 3.92302227e-07 0.00000000e+00)
4               	1.97252977e-10	(-9.99999997e-01 6.30697232e-08 0.00000000e+00)
4.5             	5.24700290e-12	(-1.00000000e+00 1.33280125e-08 0.00000000e+00)
5               	1.15338944e-12	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
5.5             	2.24602038e-15	(-1.00000000e+00 5.51645754e-14 0.00000000e+00)
6               	2.67804815e-15	(-1.00000000e+00 1.13469458e-13 0.00000000e+00)
6.5             	7.18098743e-15	(-1.00000000e+00 1.28275899e-13 0.00000000e+00)
7               	1.53158983e-15	(-1.00000000e+00 1.56073083e-13 0.00000000e+00)
7.5             	2.05125647e-15	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
8               	3.44774677e-15	(-1.00000000e+00 5.78691701e-14 0.00000000e+00)
8.5             	6.90786611e-15	(-1.00000000e+00 1.18536712e-13 0.00000000e+00)
9               	6.90657406e-16	(-1.00000000e+00 1.51969244e-13 0.00000000e+00)
9.5             	1.23344538e-14	(-1.00000000e+00 1.91130263e-13 0.00000000e+00)
10              	9.52577635e-15	(-1.00000000e+00 -0.00000000e+00 -0.00000000e+00)
