# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	volAverage(p)	volAverage(U)
0.5             	4.32103500e-04	(4.16231079e-04 4.17615657e-04 0.00000000e+00)
1               	5.24025249e-04	(4.44026382e-04 4.43724055e-04 0.00000000e+00)
1.5             	4.43245109e-04	(4.28848828e-04 4.47798262e-04 0.00000000e+00)
2               	4.18439594e-04	(4.21892315e-04 4.34918643e-04 0.00000000e+00)
2.5             	4.36219358e-04	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
3               	2.63572989e-09	(-1.00000000e+00 -3.36930157e-09 0.00000000e+00)
3.5             	1.44183338e-10	(-1.00000000e+00 -1.68578339e-10 0.00000000e+00)
4               	6.93147996e-12	(-1.00000000e+00 -1.10122818e-12 0.00000000e+00)
4.5             	9.15215423e-14	(-1.00000000e+00 4.33199021e-13 0.00000000e+00)
5               	1.83301705e-14	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
5.5             	3.35123629e-17	(-1.00000000e+00 2.81247696e-17 0.00000000e+00)
6               	1.64868248e-16	(-1.00000000e+00 3.33355006e-17 0.00000000e+00)
6.5             	4.09293795e-15	(-1.00000000e+00 3.45788293e-17 0.00000000e+00)
7               	8.62783598e-18	(-1.00000000e+00 1.08654944e-16 0.00000000e+00)
7.5             	3.08813709e-17	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
8               	1.95665337e-15	(-1.00000000e+00 4.07181108e-17 0.00000000e+00)
8.5             	4.22770255e-15	(-1.00000000e+00 8.80553860e-17 0.00000000e+00)
9               	2.14039063e-18	(-1.00000000e+00 7.99905716e-17 0.00000000e+00)
9.5             	8.68327125e-15	(-1.00000000e+00 7.21507142e-17 0.00000000e+00)
10              	5.86887156e-15	(-1.00000000e+00 0.00000000e+00 0.00000000e+00)
