# Region        : all region0
# Cells         : 400
# Volume        : 1.00000000e-04
# Time          	volIntegrate(p)	volIntegrate(U)
0.5             	4.32103500e-08	(4.16231079e-08 4.17615657e-08 0.00000000e+00)
1               	5.24025249e-08	(4.44026382e-08 4.43724055e-08 0.00000000e+00)
1.5             	4.43245109e-08	(4.28848828e-08 4.47798262e-08 0.00000000e+00)
2               	4.18439594e-08	(4.21892315e-08 4.34918643e-08 0.00000000e+00)
2.5             	4.36219358e-08	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
3               	2.63572989e-13	(-1.00000000e-04 -3.36930157e-13 0.00000000e+00)
3.5             	1.44183338e-14	(-1.00000000e-04 -1.68578339e-14 0.00000000e+00)
4               	6.93147996e-16	(-1.00000000e-04 -1.10122818e-16 0.00000000e+00)
4.5             	9.15215423e-18	(-1.00000000e-04 4.33199021e-17 0.00000000e+00)
5               	1.83301705e-18	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
5.5             	3.35123629e-21	(-1.00000000e-04 2.81247696e-21 0.00000000e+00)
6               	1.64868248e-20	(-1.00000000e-04 3.33355006e-21 0.00000000e+00)
6.5             	4.09293795e-19	(-1.00000000e-04 3.45788293e-21 0.00000000e+00)
7               	8.62783598e-22	(-1.00000000e-04 1.08654944e-20 0.00000000e+00)
7.5             	3.08813709e-21	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
8               	1.95665337e-19	(-1.00000000e-04 4.07181108e-21 0.00000000e+00)
8.5             	4.22770255e-19	(-1.00000000e-04 8.80553860e-21 0.00000000e+00)
9               	2.14039063e-22	(-1.00000000e-04 7.99905716e-21 0.00000000e+00)
9.5             	8.68327125e-19	(-1.00000000e-04 7.21507142e-21 0.00000000e+00)
10              	5.86887156e-19	(-1.00000000e-04 0.00000000e+00 0.00000000e+00)
