# Wall shear stress
# Time            	patch             	min               	max               
0.5               	fixedWalls	(-2.6464671562e-03 -2.3353506912e-03 0.0000000000e+00)	(3.5892974004e-04 2.3215613582e-03 0.0000000000e+00)
1                 	fixedWalls	(-2.5927982172e-03 -2.3353053077e-03 0.0000000000e+00)	(3.0777655832e-04 2.2515793925e-03 0.0000000000e+00)
1.5               	fixedWalls	(-2.5882940088e-03 -2.3367149634e-03 0.0000000000e+00)	(2.6314597101e-04 2.2546446627e-03 0.0000000000e+00)
2                 	fixedWalls	(-2.5913518648e-03 -2.3385692215e-03 0.0000000000e+00)	(2.4638688920e-04 2.2523602235e-03 0.0000000000e+00)
2.5               	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
3                 	fixedWalls	(-1.4735943110e-08 -1.7312281738e-08 0.0000000000e+00)	(1.4605131143e-08 1.7617739898e-08 0.0000000000e+00)
3.5               	fixedWalls	(-5.0094085693e-10 -1.5870948337e-09 0.0000000000e+00)	(5.0219553430e-10 1.5882691527e-09 0.0000000000e+00)
4                 	fixedWalls	(-4.7148732792e-11 -3.3042846923e-10 0.0000000000e+00)	(5.8281682637e-11 2.5293978027e-10 0.0000000000e+00)
4.5               	fixedWalls	(-1.0085713151e-11 -7.1086756824e-11 0.0000000000e+00)	(1.2522100880e-11 5.3364397562e-11 0.0000000000e+00)
5                 	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
5.5               	fixedWalls	(-1.7974099751e-16 -2.9710227441e-16 0.0000000000e+00)	(1.1310929900e-16 4.1159772364e-16 0.0000000000e+00)
6                 	fixedWalls	(-2.7210540948e-16 -6.1077215215e-16 0.0000000000e+00)	(1.8067983603e-16 5.3647802967e-16 0.0000000000e+00)
6.5               	fixedWalls	(-3.0139630314e-16 -6.9100473936e-16 0.0000000000e+00)	(2.0406545250e-16 5.5319248137e-16 0.0000000000e+00)
7                 	fixedWalls	(-3.2441223304e-16 -8.1738422817e-16 0.0000000000e+00)	(2.6575535596e-16 5.8858486517e-16 0.0000000000e+00)
7.5               	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
8                 	fixedWalls	(-6.8841337771e-17 -3.0484086601e-16 0.0000000000e+00)	(7.9119552118e-17 1.5903643594e-16 0.0000000000e+00)
8.5               	fixedWalls	(-2.2059437394e-16 -6.3544840506e-16 0.0000000000e+00)	(1.7922548848e-16 3.7393646045e-16 0.0000000000e+00)
9                 	fixedWalls	(-3.2158511242e-16 -8.1693749247e-16 0.0000000000e+00)	(2.5187946627e-16 5.6572303071e-16 0.0000000000e+00)
9.5               	fixedWalls	(-4.0335030979e-16 -9.2827854427e-16 0.0000000000e+00)	(3.4246088184e-16 7.0950087247e-16 0.0000000000e+00)
10                	fixedWalls	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)	(0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
