# y+ ()           
# Time            	patch             	min               	max               	average           
0.5               	movingWall	1.2745063373e+01	1.5521080466e+01	1.4500984551e+01
0.5               	fixedWalls	2.3268960582e-01	1.4302558775e+01	2.2777962902e+00
1                 	movingWall	1.2573007699e+01	1.5521613848e+01	1.4188757892e+01
1                 	fixedWalls	2.5979042189e-01	1.3889000543e+01	2.8452629391e+00
1.5               	movingWall	1.2532254019e+01	1.5522828005e+01	1.4135569092e+01
1.5               	fixedWalls	3.3085426349e-01	1.3908702337e+01	3.3167576568e+00
2                 	movingWall	1.2526914294e+01	1.5524898684e+01	1.4080750570e+01
2                 	fixedWalls	2.8889978819e-01	1.3895586745e+01	3.8007553367e+00
2.5               	movingWall	0.0000000000e+00	1.4522351908e+01	1.2460890974e+01
2.5               	fixedWalls	0.0000000000e+00	1.3864875922e+01	4.4200315295e-01
3                 	movingWall	9.5209398576e-06	3.5076340598e-02	3.7619078446e-03
3                 	fixedWalls	7.1912910694e-06	3.5076340598e-02	7.7008785532e-03
3.5               	movingWall	8.8268601027e-07	9.9332403448e-03	9.7576107390e-04
3.5               	fixedWalls	2.8225542621e-06	9.9332403448e-03	3.2629216343e-03
4                 	movingWall	3.6692329763e-07	3.9728081379e-03	3.8808574730e-04
4                 	fixedWalls	1.2033390085e-07	3.9728081379e-03	1.4439893376e-03
4.5               	movingWall	1.7284307448e-07	1.7959649054e-03	1.7531701030e-04
4.5               	fixedWalls	1.0365596833e-07	1.8253785049e-03	6.6246393899e-04
5                 	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5                 	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
5.5               	movingWall	1.7703876475e-07	3.6466084978e-06	5.9426380005e-07
5.5               	fixedWalls	3.0759538779e-08	4.9313352589e-06	1.0937703388e-06
6                 	movingWall	4.7867736911e-08	4.5267381179e-06	6.3595613358e-07
6                 	fixedWalls	1.8140805102e-08	5.5717648365e-06	1.4980183253e-06
6.5               	movingWall	6.7613121635e-08	4.6300514057e-06	6.1298778765e-07
6.5               	fixedWalls	5.8612312063e-08	5.6836199555e-06	1.6873582056e-06
7                 	movingWall	4.2271399091e-08	4.4675361042e-06	6.3617006395e-07
7                 	fixedWalls	2.3884949695e-08	6.2473210048e-06	1.8281750265e-06
7.5               	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
7.5               	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
8                 	movingWall	5.9429528904e-08	1.1734761961e-06	3.8990366464e-07
8                 	fixedWalls	3.2901043375e-08	3.8123092233e-06	9.6017113478e-07
8.5               	movingWall	1.2981059631e-07	3.5184286054e-06	5.9494466681e-07
8.5               	fixedWalls	4.1014006829e-08	5.4521326731e-06	1.5142012453e-06
9                 	movingWall	8.4580629000e-08	4.6730969307e-06	6.4851051245e-07
9                 	fixedWalls	3.0703608564e-08	6.1782393982e-06	1.8175214219e-06
9.5               	movingWall	6.3916522679e-08	4.8982107667e-06	6.9609449008e-07
9.5               	fixedWalls	6.7044871018e-08	6.9200588725e-06	1.9859179118e-06
10                	movingWall	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
10                	fixedWalls	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
